Reference_type,access_date,alternate_title,assessment_id,author,date,edition,externalBibCode,internal_taxon_id,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year,in_text
Assessment,,,,"Board of Trustees, RBG Kew",,,,,,POWO,,,,"Richmond, UK.",,,,,,,Plants of the World Online Portal,electronic source,http://www.plantsoftheworldonline.org,,,
Assessment,,,,GBIF.org,,,,,,GBIF,,,Collection of online herbarium specimens,,GBIF,,,,,,Global Biodiversity Information Facility (GBIF) data portal,electronic source,http://data.gbif.org,,,
Assessment,,,,NatureServe,,Version 7.1,,,,NATURESERVE,,,,"Arlington, Virginia",NatureServe,,,,,,NatureServe Explorer: An online encyclopedia of life [web application],electronic source,http://explorer.natureserve.org,,,
Assessment,,,,VASCAN,,,,,,VASCAN,,,,,,,,,,,The Database of Vascular Plants of Canada,electronic source,http://data.canadensys.net/vascan/search,,,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 2,,21+,,New York and Oxford,Oxford University Press,,,,,,Flora of North America North of Mexico: Volume 2: Pteridophytes and Gymnosperms,book,http://beta.floranorthamerica.org/,2,1993,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 3,,21+,,New York and Oxford,Oxford University Press,,,,,,Flora of North America North of Mexico: Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae,book,http://beta.floranorthamerica.org/,3,1997,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 4,,21+,,New York and Oxford,Oxford University Press,,,,,,"Flora of North America North of Mexico: Volume 4: Magnoliophyta: Caryophyllidae, part 1",book,http://beta.floranorthamerica.org/,4,2003,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 5,,21+,,New York and Oxford,Oxford University Press,,,,,,"Flora of North America North of Mexico: Volume 5: Magnoliophyta: Caryophyllidae, part 2",book,http://beta.floranorthamerica.org/,5,2005,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 6,,21+,,New York and Oxford,Oxford University Press,,,,,,Flora of North America North of Mexico: Volume 6: Magnoliophyta Cucurbitaceae to Droseraceae,book,http://beta.floranorthamerica.org/,6,2002,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 7,,21+,,New York and Oxford,Oxford University Press,,,,,,Flora of North America North of Mexico: Volume 7: Magnoliophyta: Salicaceae to Brassicaceae,book,http://beta.floranorthamerica.org/,7,2010,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 8,,21+,,New York and Oxford,Oxford University Press,,,,,,Flora of North America North of Mexico: Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae,book,http://beta.floranorthamerica.org/,8,2006,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 9,,21+,,New York and Oxford,Oxford University Press,,,,,,Flora of North America North of Mexico: Volume 9: Magnoliophyta: Picramniaceae to Rosaceae,book,http://beta.floranorthamerica.org/,9,2015,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 12,,21+,,New York and Oxford,Oxford University Press,,,,,,Flora of North America North of Mexico: Volume 12: Magnoliophyta: Vitaceae to Garryaceae,book,http://beta.floranorthamerica.org/,12,2016,
Assessment,,,,Flora of North America Editorial Committee,,1st Edition,,,,Volume 17,,21+,,New York and Oxford,Oxford University Press,,,,,,Flora of North America North of Mexico: Volume 17: Magnoliophyta: Tetrachondraceae to Orbobanchaceae,book,http://beta.floranorthamerica.org/,17,2019,
Assessment,,,,Flora of North America Editorial Committee,,1st Edition,,,,Volume 19,,21+,,New York and Oxford,Oxford University Press,,,,,,"Flora of North America North of Mexico: Volumes 19, 20 and 21: Asteraceae",book,http://beta.floranorthamerica.org/,19,2006,
Assessment,,,,Flora of North America Editorial Committee,,1st Edition,,,,Volume 20,,21+,,New York and Oxford,Oxford University Press,,,,,,"Flora of North America North of Mexico: Volumes 19, 20 and 21: Asteraceae",book,http://beta.floranorthamerica.org/,20,2006,
Assessment,,,,Flora of North America Editorial Committee,,1st Edition,,,,Volume 21,,21+,,New York and Oxford,Oxford University Press,,,,,,"Flora of North America North of Mexico: Volumes 19, 20 and 21: Asteraceae",book,http://beta.floranorthamerica.org/,21,2006,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 22,,21+,,New York and Oxford,Oxford University Press,,,,,,"Flora of North America North of Mexico: Volume 22: Magnoliophyta: Alismatidae, Arecidae, Commelinidae (in part), and Zingiberidae",book,http://beta.floranorthamerica.org/,22,2000,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 23,,21+,,New York and Oxford,Oxford University Press,,,,,,Flora of North America North of Mexico: Volume 23: Magnoliophyta: Commelinidae (in part): Cyperaceae,book,http://beta.floranorthamerica.org/,23,2003,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 24,,21+,,New York and Oxford,Oxford University Press,,,,,,"Flora of North America: North of Mexico: Volume 24: Magnoliophyta: Commelinidae (in part): Poaceae, part 1",book,http://beta.floranorthamerica.org/,24,1993,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 25,,21+,,New York and Oxford,Oxford University Press,,,,,,"Flora of North America: North of Mexico: Volume 25: Magnoliophyta: Commelinidae (in part): Poaceae, part 2",book,http://beta.floranorthamerica.org/,25,2003,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 26,,21+,,New York and Oxford,Oxford University Press,,,,,,Flora of North America North of Mexico: Volume 26: Magnoliophyta: Liliidae: Liliales and Orchidales,book,http://beta.floranorthamerica.org/,26,2002,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 27,,21+,,New York and Oxford,Oxford University Press,,,,,,"Flora of North America North of Mexico: Volume 27: Bryophytes: Mosses, part 1",book,http://beta.floranorthamerica.org/,27,2007,
Assessment,,,,Flora of North America Editorial Committee,,,,,,Volume 28,,21+,,New York and Oxford,Oxford University Press,,,,,,"Flora of North America North of Mexico: Volume 28: Bryophytes: Mosses, part 2",book,http://beta.floranorthamerica.org/,28,2015,
